"N","FFT","DFT"
1,0.0036,0
1,0.0011,0
1,0.0011,0
1,0.0011,0
1,0.0012,0
1,0.0011,0
1,0.0011,0
1,0.0011,0
1,0.0011,0
1,0.0011,0
2,0.006,0.001
2,0.0023,0.0011
2,0.0022,0.001
2,0.0021,0.001
2,0.0021,0.001
2,0.0021,0.001
2,0.0021,0.001
2,0.0022,0.001
2,0.0021,0.001
2,0.0021,0.0011
4,0.0054,0.0077
4,0.0052,0.0066
4,0.0053,0.007
4,0.0045,0.0057
4,0.0046,0.006
4,0.0041,0.005
4,0.0041,0.0064
4,0.0041,0.0062
4,0.0042,0.005
4,0.0041,0.0052
8,0.0092,0.0191
8,0.0089,0.0182
8,0.0091,0.019
8,0.009,0.019
8,0.009,0.019
8,0.011,0.019
8,0.0095,0.0194
8,0.0096,0.0188
8,0.009,0.019
8,0.009,0.019
16,0.0203,0.0724
16,0.0206,0.0683
16,0.0209,0.0736
16,0.0288,0.0932
16,0.0315,0.0866
16,0.0283,0.0927
16,0.0275,0.0848
16,0.027,0.0892
16,0.0261,0.0846
16,0.0273,0.0852
32,0.0591,0.2484
32,0.0571,0.2658
32,0.0565,0.2649
32,0.0583,0.2759
32,0.0566,0.263
32,0.0594,0.2961
32,0.059,0.3545
32,0.1084,0.3099
32,0.0661,0.3807
32,0.0819,0.4024
64,0.1375,0.9255
64,0.3998,0.9152
64,0.1177,0.9459
64,0.1146,0.9729
64,0.1526,1.3229
64,0.1473,1.3089
64,0.2284,1.341
64,0.1466,1.2858
64,0.1479,1.5164
64,0.1605,1.1809
128,0.3195,4.2568
128,0.3122,2.8991
128,0.2522,3.1929
128,0.3606,3.8726
128,0.3913,3.4192
128,0.2891,3.6948
128,0.3149,4.3544
128,0.3144,3.1498
128,0.2631,2.8901
128,0.3768,3.4171
256,0.5546,13.2653
256,0.6227,9.5168
256,0.3892,8.2629
256,0.4077,8.2879
256,0.3969,9.4813
256,0.4591,9.0717
256,0.5276,11.0675
256,0.3955,8.958
256,0.4283,8.6283
256,0.3459,9.8927
512,0.8596,36.7262
512,1.2404,40.352
512,1.0597,40.0005
512,0.8065,43.9534
512,0.9141,41.3433
512,1.2638,40.2156
512,1.4476,40.7446
512,0.8241,38.8367
512,0.772,37.7026
512,0.8155,37.3276
1024,2.4689,169.271
1024,2.1725,176.358
1024,2.2743,145.191
1024,1.8451,129.48
1024,1.6603,134.462
1024,1.5058,133.815
1024,3.062,178.128
1024,3.6858,160.875
1024,1.5681,192.767
1024,3.1133,185.286
2048,3.2346,540.154
2048,3.4647,569.624
2048,3.5839,594.397
2048,3.5428,584.451
2048,3.9105,621.906
2048,4.5811,583.13
2048,3.8269,652.591
2048,5.1662,519.599
2048,3.0786,592.563
2048,1006.7983,556.005
